date	age_group	onsets
2020-07-26	60-79	7
2020-07-26	80+	2
2020-07-27	0-14	12
2020-07-27	15-59	99
2020-07-27	60-79	3
2020-07-27	80+	4
2020-07-27	NA	1
2020-07-28	0-14	11
2020-07-28	15-59	95
2020-07-28	60-79	9
2020-07-28	80+	2
2020-07-28	NA	2
2020-07-29	0-14	16
2020-07-29	15-59	90
2020-07-29	60-79	9
2020-07-29	80+	4
2020-07-30	0-14	6
2020-07-30	15-59	119
2020-07-30	60-79	7
2020-07-30	80+	1
2020-07-31	0-14	13
2020-07-31	15-59	93
2020-07-31	60-79	5
2020-07-31	80+	2
2020-07-31	NA	1
2020-08-01	0-14	9
2020-08-01	15-59	109
2020-08-01	60-79	7
2020-08-01	80+	2
2020-08-01	NA	1
2020-08-02	0-14	11
2020-08-02	15-59	111
2020-08-02	60-79	9
2020-08-02	80+	2
2020-08-02	NA	1
2020-08-03	0-14	13
2020-08-03	15-59	126
2020-08-03	60-79	13
2020-08-03	80+	2
2020-08-03	NA	2
2020-08-04	0-14	13
2020-08-04	15-59	130
2020-08-04	60-79	12
2020-08-04	80+	3
2020-08-05	0-14	14
2020-08-05	15-59	122
2020-08-05	60-79	6
2020-08-05	80+	4
2020-08-05	NA	1
2020-08-06	0-14	12
2020-08-06	15-59	131
2020-08-06	60-79	7
2020-08-06	80+	2
2020-08-07	0-14	17
2020-08-07	15-59	125
2020-08-07	60-79	7
2020-08-07	80+	1
2020-08-07	NA	5
2020-08-08	0-14	18
2020-08-08	15-59	138
2020-08-08	60-79	7
2020-08-08	80+	2
2020-08-08	NA	1
2020-08-09	0-14	18
2020-08-09	15-59	167
2020-08-09	60-79	14
2020-08-09	80+	1
2020-08-09	NA	3
2020-08-10	0-14	27
2020-08-10	15-59	213
2020-08-10	60-79	13
2020-08-10	80+	5
2020-08-10	NA	2
2020-08-11	0-14	26
2020-08-11	15-59	197
2020-08-11	60-79	9
2020-08-11	80+	4
2020-08-11	NA	1
2020-08-12	0-14	34
2020-08-12	15-59	188
2020-08-12	60-79	10
2020-08-12	80+	1
2020-08-12	NA	2
2020-08-13	0-14	30
2020-08-13	15-59	215
2020-08-13	60-79	7
2020-08-13	80+	4
2020-08-13	NA	2
2020-08-14	0-14	28
2020-08-14	15-59	202
2020-08-14	60-79	14
2020-08-14	NA	1
2020-08-15	0-14	25
2020-08-15	15-59	216
2020-08-15	60-79	17
2020-08-15	80+	1
2020-08-15	NA	1
2020-08-16	0-14	40
2020-08-16	15-59	256
2020-08-16	60-79	8
2020-08-16	80+	1
2020-08-16	NA	1
2020-08-17	0-14	37
2020-08-17	15-59	252
2020-08-17	60-79	10
2020-08-17	80+	2
2020-08-17	NA	3
2020-08-18	0-14	35
2020-08-18	15-59	286
2020-08-18	60-79	10
2020-08-18	80+	3
2020-08-18	NA	4
2020-08-19	0-14	30
2020-08-19	15-59	236
2020-08-19	60-79	12
2020-08-19	80+	3
2020-08-19	NA	1
2020-08-20	0-14	34
2020-08-20	15-59	238
2020-08-20	60-79	11
2020-08-20	80+	4
2020-08-20	NA	4
2020-08-21	0-14	36
2020-08-21	15-59	209
2020-08-21	60-79	13
2020-08-21	80+	4
2020-08-21	NA	1
2020-08-22	0-14	31
2020-08-22	15-59	224
2020-08-22	60-79	7
2020-08-22	80+	1
2020-08-22	NA	1
2020-08-23	0-14	41
2020-08-23	15-59	248
2020-08-23	60-79	10
2020-08-23	80+	1
2020-08-23	NA	4
2020-08-24	0-14	42
2020-08-24	15-59	277
2020-08-24	60-79	13
2020-08-24	80+	1
2020-08-24	NA	4
2020-08-25	0-14	45
2020-08-25	15-59	276
2020-08-25	60-79	16
2020-08-25	80+	5
2020-08-25	NA	1
2020-08-26	0-14	38
2020-08-26	15-59	253
2020-08-26	60-79	16
2020-08-26	80+	3
2020-08-26	NA	3
2020-08-27	0-14	25
2020-08-27	15-59	244
2020-08-27	60-79	13
2020-08-27	80+	10
2020-08-27	NA	3
2020-08-28	0-14	42
2020-08-28	15-59	226
2020-08-28	60-79	18
2020-08-28	80+	6
2020-08-28	NA	1
2020-08-29	0-14	31
2020-08-29	15-59	193
2020-08-29	60-79	12
2020-08-29	80+	2
2020-08-29	NA	1
2020-08-30	0-14	37
2020-08-30	15-59	222
2020-08-30	60-79	15
2020-08-30	80+	3
2020-08-30	NA	2
2020-08-31	0-14	44
2020-08-31	15-59	255
2020-08-31	60-79	21
2020-08-31	80+	4
2020-08-31	NA	2
2020-09-01	0-14	52
2020-09-01	15-59	283
2020-09-01	60-79	19
2020-09-01	80+	7
2020-09-01	NA	1
2020-09-02	0-14	48
2020-09-02	15-59	307
2020-09-02	60-79	17
2020-09-02	80+	4
2020-09-02	NA	3
2020-09-03	0-14	33
2020-09-03	15-59	280
2020-09-03	60-79	21
2020-09-03	80+	6
2020-09-03	NA	1
2020-09-04	0-14	44
2020-09-04	15-59	282
2020-09-04	60-79	26
2020-09-04	80+	4
2020-09-04	NA	4
2020-09-05	0-14	37
2020-09-05	15-59	246
2020-09-05	60-79	28
2020-09-05	80+	4
2020-09-05	NA	2
2020-09-06	0-14	39
2020-09-06	15-59	268
2020-09-06	60-79	29
2020-09-06	80+	6
2020-09-06	NA	2
2020-09-07	0-14	44
2020-09-07	15-59	347
2020-09-07	60-79	24
2020-09-07	80+	11
2020-09-07	NA	2
2020-09-08	0-14	40
2020-09-08	15-59	308
2020-09-08	60-79	36
2020-09-08	80+	6
2020-09-08	NA	6
2020-09-09	0-14	29
2020-09-09	15-59	305
2020-09-09	60-79	32
2020-09-09	80+	9
2020-09-09	NA	1
2020-09-10	0-14	28
2020-09-10	15-59	296
2020-09-10	60-79	32
2020-09-10	80+	6
2020-09-10	NA	2
2020-09-11	0-14	38
2020-09-11	15-59	267
2020-09-11	60-79	29
2020-09-11	80+	5
2020-09-11	NA	4
2020-09-12	0-14	26
2020-09-12	15-59	253
2020-09-12	60-79	35
2020-09-12	80+	11
2020-09-12	NA	3
2020-09-13	0-14	35
2020-09-13	15-59	283
2020-09-13	60-79	27
2020-09-13	80+	5
2020-09-13	NA	1
2020-09-14	0-14	52
2020-09-14	15-59	323
2020-09-14	60-79	39
2020-09-14	80+	8
2020-09-14	NA	3
2020-09-15	0-14	43
2020-09-15	15-59	315
2020-09-15	60-79	34
2020-09-15	80+	13
2020-09-15	NA	3
2020-09-16	0-14	35
2020-09-16	15-59	274
2020-09-16	60-79	39
2020-09-16	80+	11
2020-09-16	NA	4
2020-09-17	0-14	27
2020-09-17	15-59	282
2020-09-17	60-79	22
2020-09-17	80+	4
2020-09-17	NA	3
2020-09-18	0-14	39
2020-09-18	15-59	210
2020-09-18	60-79	32
2020-09-18	80+	5
2020-09-18	NA	1
2020-09-19	0-14	20
2020-09-19	15-59	162
2020-09-19	60-79	30
2020-09-19	80+	6
2020-09-19	NA	3
2020-09-20	0-14	14
2020-09-20	15-59	162
2020-09-20	60-79	20
2020-09-20	80+	7
2020-09-20	NA	1
2020-09-21	0-14	19
2020-09-21	15-59	201
2020-09-21	60-79	23
2020-09-21	80+	6
2020-09-21	NA	3
2020-09-22	0-14	27
2020-09-22	15-59	162
2020-09-22	60-79	20
2020-09-22	80+	1
2020-09-23	0-14	11
2020-09-23	15-59	148
2020-09-23	60-79	21
2020-09-23	80+	10
2020-09-23	NA	2
2020-09-24	0-14	15
2020-09-24	15-59	87
2020-09-24	60-79	15
2020-09-24	80+	2
2020-09-24	NA	2
2020-09-25	0-14	7
2020-09-25	15-59	67
2020-09-25	60-79	4
2020-09-25	80+	5
2020-09-26	0-14	2
2020-09-26	15-59	29
2020-09-26	60-79	3
2020-09-26	80+	2
2020-09-26	NA	1
2020-09-27	15-59	3
2020-09-28	0-14	1
2020-09-28	15-59	1
